country,region,gdp,gdp_per_capita,gdp_growth,population,youth_population_pct,internet_penetration,mobile_broadband,tertiary_enrollment,outbound_mobility_ratio,english_proficiency,ease_of_business,regulatory_quality,political_stability,inflation,cost_of_living,currency_stability,data_year,reliability_score
Australia,Asia-Pacific,1.70E+12,65169.51911,4.253045592,26018721,,97.0424,109.469,106.2407608,,620,1.894893289,1.894893289,0.983715951,6.594096713,77.7,60,2022,0.95
Brazil,Latin America,1.95E+12,9281.332821,3.016694354,210306415,,80.5278,101.245,60.39062119,,505,-0.220437631,-0.220437631,-0.395036936,9.28010609,33.2,60,2022,0.95
Canada,North America,2.19E+12,56256.80073,4.189036281,38935934,,94,91.2387,78.89849854,,590,1.677092791,1.677092791,0.780681551,6.802801153,70.2,60,2022,0.95
China,Asia-Pacific,1.83E+13,12970.60564,3.134188872,1412175000,,75.6113,124.195,71.57994651,,498,-0.418417633,-0.418417633,-0.45127672,1.973575557,41.8,90,2022,0.95
Germany,Europe,4.20E+12,50506.51796,1.809258124,83177813,,91.6298,124.158,77.36569977,,613,1.522294998,1.522294998,0.628491879,6.872574386,65.6,60,2022,0.95
India,Asia-Pacific,3.35E+12,2347.448294,7.609364978,1425423212,,55.9,80.1818,32.45399382,,516,-0.050446417,-0.050446417,-0.615027368,6.699034141,24.4,60,2022,0.95
Singapore,Asia-Pacific,5.09E+11,90299.06946,4.108000219,5637022,,95.9539,173.005,98.0222265,,642,2.214378357,2.214378357,1.440372348,6.130954189,84,60,2022,0.95
South Africa,Africa,4.08E+11,6534.248678,2.058136617,62378410,,75.4556,160.729,23.72710362,,609,-0.185125753,-0.185125753,-0.681386352,7.039872725,42.1,60,2022,0.95
United Kingdom,Europe,3.18E+12,47057.04323,5.149703885,67604000,,96.2989,119.834,79.7250824,,600,1.566510081,1.566510081,0.533176064,7.922048831,69.7,60,2022,0.95
United States,North America,2.56E+13,76657.24888,2.51237532,334017321,,92.2016,108.786,79.36193085,,580,1.424439907,1.424439907,0.008700687,8.002799821,70.1,60,2022,0.95
