country,region,gdp,gdp_per_capita,gdp_growth,population,youth_population_pct,internet_penetration,mobile_broadband,tertiary_enrollment,outbound_mobility_ratio,english_proficiency,ease_of_business,regulatory_quality,political_stability,inflation,cost_of_living,currency_stability,data_year,reliability_score,gdp_norm,gdp_per_capita_norm,gdp_growth_norm,population_norm,internet_penetration_norm,mobile_broadband_norm,tertiary_enrollment_norm,english_proficiency_norm,ease_of_business_norm,regulatory_quality_norm,political_stability_norm,inflation_norm,cost_of_living_norm,currency_stability_norm
Australia,Asia-Pacific,1700000000000.0,65169.51911,4.253045592,26018721,,97.0424,109.469,106.2407608,,620,1.894893289,1.894893289,0.983715951,6.594096713,77.7,60,2022,0.95,0.04872181644966656,0.67856585795682,0.40026815937001703,0.01363769713100252,0.95,0.29974015116910424,0.95,0.804861111111111,0.8347192050759695,0.8347192050759695,0.7455358556324052,0.34923674056040527,0.10041946308724825,0.0
Brazil,Latin America,1950000000000.0,9281.332821,3.016694354,210306415,,80.5278,101.245,60.39062119,,505,-0.220437631,-0.220437631,-0.395036936,9.28010609,33.2,60,2022,0.95,0.058149412511908534,0.07489560980595603,0.19776608386256464,0.1369473268013686,0.5686690616006844,0.21557153814994537,0.42211608213558033,0.04618055555555555,0.0714377424663276,0.0714377424663276,0.12821059491826284,0.0,0.809731543624161,0.0
Canada,North America,2190000000000.0,56256.80073,4.189036281,38935934,,94.0,91.2387,78.89849854,,590,1.677092791,1.677092791,0.780681551,6.802801153,70.2,60,2022,0.95,0.06719990473166085,0.5822960865899088,0.3897840688212258,0.02228079595562202,0.8797493583262035,0.1131619573554887,0.6352018194959372,0.6069444444444444,0.7561295711332346,0.7561295711332346,0.6546288736084833,0.32210084930469696,0.21996644295302006,0.0
China,Asia-Pacific,18300000000000.0,12970.60564,3.134188872,1412175000,,75.6113,124.195,71.57994651,,498,-0.418417633,-0.418417633,-0.45127672,1.973575557,41.8,90,2022,0.95,0.6747141949825342,0.11474489435109271,0.21701052106168664,0.9411354248346365,0.45514444952166133,0.45045355040550206,0.5509415325796374,0.0,0.0,0.0,0.10302969437570819,0.95,0.6726510067114094,0.95
Germany,Europe,4200000000000.0,50506.51796,1.809258124,83177813,,91.6298,124.158,77.36569977,,613,1.522294998,1.522294998,0.628491879,6.872574386,65.6,60,2022,0.95,0.14299777707208636,0.5201850241776588,0.0,0.05188369345246273,0.8250201738352648,0.45007487352299863,0.6175543308102346,0.7586805555555556,0.7002734000100023,0.7002734000100023,0.5864872001938769,0.3130288867568604,0.29328859060402696,0.0
India,Asia-Pacific,3350000000000.0,2347.448294,7.609364978,1425423212,,55.9,80.1818,32.45399382,,516,-0.050446417,-0.050446417,-0.615027368,6.699034141,24.4,60,2022,0.95,0.11094395046046363,0.0,0.95,0.95,0.0,0.0,0.10047483014738433,0.11875,0.13277620314212038,0.13277620314212038,0.029711689081326705,0.3355927057959233,0.95,0.0
Singapore,Asia-Pacific,509000000000.0,90299.06946,4.108000219,5637022,,95.9539,173.005,98.0222265,,642,2.214378357,2.214378357,1.440372348,6.130954189,84.0,60,2022,0.95,0.0038087488091457606,0.95,0.37651116526309425,0.0,0.9248659533717042,0.95,0.8553779961786443,0.95,0.95,0.95,0.95,0.40945484213581135,0.0,0.0
South Africa,Africa,408000000000.0,6534.248678,2.058136617,62378410,,75.4556,160.729,23.72710362,,609,-0.185125753,-0.185125753,-0.681386352,7.039872725,42.1,60,2022,0.95,0.0,0.04522327516047642,0.04076382975374751,0.037966504379085414,0.45154925332503704,0.8243611510915375,0.0,0.7322916666666667,0.08417943769353736,0.08417943769353736,0.0,0.29127664452203006,0.6678691275167784,0.0
United Kingdom,Europe,3180000000000.0,47057.04323,5.149703885,67604000,,96.2989,119.834,79.7250824,,600,1.566510081,1.566510081,0.533176064,7.922048831,69.7,60,2022,0.95,0.10453318513813908,0.48292589296374994,0.5471318982272666,0.0414630241614056,0.9328321877187524,0.4058208508217774,0.6447184824804296,0.6729166666666667,0.7162276665044601,0.7162276665044601,0.5438103282903941,0.17657551559156687,0.2279362416107382,0.0
United States,North America,25600000000000.0,76657.24888,2.51237532,334017321,,92.2016,108.786,79.36193085,,580,1.424439907,1.424439907,0.008700687,8.002799821,70.1,60,2022,0.95,0.95,0.8026493385887704,0.11516362594929527,0.2197241290605876,0.8382233413704596,0.29274998060829627,0.6405374294973165,0.5409722222222222,0.6649640418967669,0.6649640418967669,0.30898079364538483,0.16607621771639564,0.2215604026845638,0.0
